is_promoted,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
0,72699,Procurement,region_2,Bachelor's,f,sourcing,1,59,2,13,0,0,75
0,22996,Technology,region_13,Bachelor's,m,sourcing,1,29,3,6,0,0,76
0,1429,Operations,region_22,Bachelor's,m,sourcing,1,30,2,3,0,0,61
0,70990,HR,region_7,Bachelor's,m,other,1,25,5,2,0,0,47
0,46562,Sales & Marketing,region_24,Bachelor's,m,other,1,34,1,3,1,0,55
0,67398,Technology,region_7,Bachelor's,m,sourcing,3,29,4,4,0,0,78
0,27169,Operations,region_7,Master's & above,m,sourcing,1,37,5,3,1,0,54
0,25826,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,2,4,0,0,48
0,31823,Procurement,region_17,Bachelor's,f,sourcing,1,30,2,7,0,0,65
0,25476,HR,region_34,Bachelor's,m,other,1,31,4,3,1,0,53
0,41002,R&D,region_11,Bachelor's,m,sourcing,1,31,5,3,1,0,87
0,61452,Sales & Marketing,region_27,Bachelor's,f,other,1,28,3,6,0,0,47
0,23241,Procurement,region_15,Bachelor's,m,other,1,29,3,2,0,0,68
0,58797,Analytics,region_29,Bachelor's,f,sourcing,1,31,4,3,1,0,85
0,30450,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,3,13,1,0,55
0,47295,Procurement,region_2,Bachelor's,m,other,3,31,3,3,0,0,70
0,27551,Finance,region_32,Bachelor's,m,sourcing,1,35,5,8,1,0,56
0,76423,Procurement,region_15,Bachelor's,f,other,1,29,2,5,0,0,70
0,66138,HR,region_2,Master's & above,f,sourcing,1,38,5,4,1,0,46
0,69156,Procurement,region_27,Bachelor's,f,sourcing,1,37,2,8,0,0,67
1,52405,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,32,5,3,1,0,49
0,6300,Procurement,region_30,Bachelor's,f,other,1,30,3,6,1,0,69
1,48282,Operations,region_7,Master's & above,m,other,2,41,3,9,0,0,68
0,65398,Operations,region_16,Master's & above,f,other,1,37,4,3,1,0,59
0,4342,Operations,region_21,Master's & above,m,other,1,37,3,7,0,0,55
0,49471,Procurement,region_22,Bachelor's,f,sourcing,1,28,1,6,1,0,68
0,45798,Finance,region_26,Bachelor's,m,sourcing,1,25,4,2,0,0,60
0,24594,Sales & Marketing,region_32,Bachelor's,m,other,1,24,5,2,0,0,53
0,1091,Procurement,region_2,Bachelor's,m,other,3,36,1,4,0,0,68
0,59847,Procurement,region_25,Bachelor's,m,other,2,28,3,2,0,0,72
0,21231,Procurement,region_21,Master's & above,f,other,1,44,5,14,1,0,67
1,72698,Operations,region_7,Master's & above,m,sourcing,1,34,3,8,1,1,86
0,46982,Procurement,region_2,Bachelor's,m,sourcing,5,40,2,3,0,0,74
0,28055,Analytics,region_11,Bachelor's,m,sourcing,3,26,3,2,1,0,82
0,14445,Technology,region_2,Bachelor's,m,referred,2,37,5,10,1,0,83
0,76088,Procurement,region_7,Master's & above,m,other,1,36,1,7,0,0,70
0,1231,Procurement,region_15,Bachelor's,m,sourcing,1,40,1,4,0,0,68
1,24234,Sales & Marketing,region_2,Master's & above,m,other,1,38,3,5,1,0,92
0,13573,Sales & Marketing,region_2,Bachelor's,f,other,1,31,2,2,1,0,43
0,16425,Analytics,region_22,Bachelor's,f,other,1,26,3,2,0,0,86
0,2083,Procurement,region_16,Bachelor's,m,sourcing,2,36,3,9,0,0,66
0,42048,Sales & Marketing,region_2,Bachelor's,m,other,1,57,3,29,0,0,50
1,74447,Operations,region_22,Master's & above,m,other,1,31,5,4,1,0,57
0,16217,Operations,region_2,Bachelor's,f,other,2,48,5,7,1,0,60
0,70634,Technology,region_2,Bachelor's,f,referred,1,24,3,1,0,0,81
1,32586,Technology,region_2,Master's & above,f,sourcing,1,35,4,3,1,0,81
0,29683,Technology,region_8,Bachelor's,f,other,1,28,5,4,1,0,75
0,58938,Operations,region_2,Bachelor's,m,other,1,60,5,6,0,0,59
0,70431,Operations,region_2,Bachelor's,f,other,1,47,3,2,1,0,63
0,38535,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,30,4,8,0,0,55
0,48681,Finance,region_2,Master's & above,m,sourcing,1,34,2,10,0,0,66
0,2656,Operations,region_2,Bachelor's,f,sourcing,1,45,3,6,1,0,59
0,50715,Technology,region_15,Bachelor's,m,other,1,32,3,7,1,1,79
0,62456,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,37,5,10,1,0,52
0,49877,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,45,3,5,0,0,48
0,51998,Operations,region_22,Master's & above,m,sourcing,2,36,4,7,0,0,61
0,54308,Sales & Marketing,region_25,Bachelor's,m,sourcing,2,32,3,7,0,0,44
1,74954,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,31,5,7,1,0,53
0,5000,Technology,region_2,Master's & above,f,other,1,60,3,31,0,0,80
0,12354,HR,region_25,Master's & above,f,other,1,32,5,4,1,0,53
1,60786,Sales & Marketing,region_25,Master's & above,m,other,1,35,2,8,1,0,54
0,49,Operations,region_22,Master's & above,m,sourcing,2,39,2,10,0,0,62
0,70841,Analytics,region_26,Bachelor's,m,sourcing,1,30,3,2,1,0,83
0,52602,Technology,region_7,Bachelor's,f,other,1,24,4,2,0,0,84
0,72697,Procurement,region_5,Bachelor's,f,other,1,36,5,4,1,0,70
0,23833,Procurement,region_2,Bachelor's,f,sourcing,1,40,5,6,1,0,66
0,7106,R&D,region_31,Bachelor's,m,other,2,32,3,3,0,0,80
0,59878,Operations,region_11,Master's & above,m,other,1,50,3,2,1,0,57
0,19745,Technology,region_23,Bachelor's,m,sourcing,1,30,3,4,0,0,79
0,65029,Sales & Marketing,region_13,Master's & above,m,other,2,36,1,5,0,0,47
0,52082,Procurement,region_34,Master's & above,f,sourcing,1,37,3,10,0,0,67
0,17183,Operations,region_11,Bachelor's,m,other,1,41,5,4,0,0,61
0,64691,HR,region_27,Bachelor's,m,other,1,29,3,5,1,0,55
0,31275,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,1,6,1,0,47
0,21805,Legal,region_20,Bachelor's,m,sourcing,1,30,2,5,0,0,64
0,51377,Finance,region_7,Bachelor's,m,other,1,31,2,9,0,0,59
0,43027,Operations,region_28,Master's & above,f,sourcing,1,35,5,3,1,0,63
0,76880,Operations,region_31,Bachelor's,f,other,1,28,3,3,0,0,61
0,66032,Analytics,region_2,Bachelor's,m,other,2,37,3,3,0,0,82
0,3055,Operations,region_27,Bachelor's,m,sourcing,2,33,3,3,0,1,56
0,64610,Sales & Marketing,region_22,Bachelor's,m,other,1,25,1,3,0,0,50
0,70125,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,36,5,7,1,0,50
0,39421,Operations,region_22,Master's & above,m,referred,1,34,1,7,1,0,58
0,52004,HR,region_2,Bachelor's,f,other,1,29,3,5,0,0,50
0,60280,HR,region_2,Bachelor's,f,sourcing,1,41,1,11,0,0,53
0,71121,Analytics,region_26,Bachelor's,m,sourcing,1,32,3,6,1,0,86
0,7433,Legal,region_2,Below Secondary,f,other,1,25,3,2,0,0,54
0,40866,Technology,region_8,Bachelor's,m,other,2,31,2,4,0,0,83
0,27082,Operations,region_2,Bachelor's,f,sourcing,1,27,4,2,1,0,61
0,42470,Analytics,region_7,Master's & above,f,sourcing,1,35,5,10,1,0,81
0,25274,Sales & Marketing,region_21,Bachelor's,m,sourcing,1,29,1,5,0,0,45
0,22582,Technology,region_22,Bachelor's,f,sourcing,1,27,3,4,0,0,81
0,23827,Technology,region_2,Master's & above,f,other,2,49,3,7,0,0,75
0,2423,Operations,region_2,Bachelor's,m,sourcing,1,38,5,7,0,0,60
0,30867,Sales & Marketing,region_4,Bachelor's,f,sourcing,1,30,3,8,0,0,48
0,72959,Sales & Marketing,region_2,Bachelor's,f,other,1,42,5,13,1,0,47
0,15096,Operations,region_7,Bachelor's,m,other,1,36,2,3,1,0,60
0,21036,Sales & Marketing,region_1,Bachelor's,m,other,2,35,1,7,0,0,54
0,56061,Sales & Marketing,region_22,Master's & above,f,other,1,33,1,6,0,0,50
0,43476,Procurement,region_7,Master's & above,m,other,2,36,3,5,0,0,70
0,32663,Procurement,region_7,Bachelor's,m,sourcing,1,30,4,4,1,0,65
0,34818,Procurement,region_2,Below Secondary,f,other,1,26,3,5,0,0,71
0,22334,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,28,5,4,0,0,50
0,18091,Technology,region_2,Master's & above,m,sourcing,1,45,3,3,0,0,81
0,63317,Operations,region_2,Bachelor's,f,other,1,39,5,9,1,0,58
0,2646,Operations,region_22,Master's & above,m,other,1,47,3,18,0,0,62
0,19769,Procurement,region_2,Master's & above,f,other,1,45,5,15,1,0,68
0,72566,Analytics,region_2,Bachelor's,m,other,1,38,3,9,1,0,88
0,53439,Finance,region_12,Bachelor's,m,other,1,30,5,5,1,0,61
0,31966,Operations,region_27,Bachelor's,f,other,1,35,1,3,0,0,55
0,28433,Sales & Marketing,region_31,Bachelor's,f,other,1,42,1,6,0,0,52
0,17861,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,33,5,3,1,0,49
0,77138,Analytics,region_13,Bachelor's,m,other,2,30,3,5,0,0,86
0,35618,Procurement,region_26,Master's & above,m,other,1,37,3,3,0,0,67
0,6617,Procurement,region_12,Bachelor's,f,other,1,32,4,5,1,0,71
0,8921,Sales & Marketing,region_31,Master's & above,m,sourcing,1,40,3,15,0,0,53
0,65853,Technology,region_33,Bachelor's,m,other,1,32,3,6,0,0,78
0,59275,Sales & Marketing,region_23,Master's & above,m,sourcing,2,39,3,13,0,0,42
0,76972,Procurement,region_2,Master's & above,f,other,1,59,2,2,0,0,68
0,2307,Technology,region_7,Bachelor's,f,sourcing,1,28,3,4,1,0,80
1,7044,Sales & Marketing,region_2,Bachelor's,f,other,1,46,5,5,0,0,56
0,17236,Analytics,region_26,Bachelor's,m,sourcing,1,26,3,3,1,0,80
0,69727,Analytics,region_2,Bachelor's,m,other,1,50,3,19,1,0,84
0,5685,Procurement,region_7,Master's & above,f,sourcing,1,40,3,13,1,0,75
0,28026,Operations,region_32,Master's & above,f,other,1,32,5,4,0,0,60
0,60832,Sales & Marketing,region_24,Master's & above,m,sourcing,1,39,4,7,0,0,49
0,25115,Sales & Marketing,region_31,Master's & above,m,sourcing,1,35,5,8,0,0,48
1,58071,Legal,region_22,Bachelor's,m,other,1,29,3,3,0,0,71
0,31343,Operations,region_12,Bachelor's,f,other,1,31,3,6,1,0,55
1,5085,Technology,region_26,Master's & above,m,sourcing,2,32,4,2,1,0,82
0,58250,Sales & Marketing,region_10,Bachelor's,f,other,1,31,2,6,1,1,47
1,20241,Sales & Marketing,region_10,Master's & above,m,other,1,35,5,6,1,0,47
0,53337,Sales & Marketing,region_31,Master's & above,m,other,2,36,4,3,0,0,48
0,77890,Sales & Marketing,region_13,Bachelor's,m,other,1,36,5,8,0,0,47
0,18730,Sales & Marketing,region_15,Master's & above,m,other,2,31,3,6,0,0,47
0,74412,Procurement,region_13,Bachelor's,f,sourcing,1,31,5,4,1,0,73
0,51230,Sales & Marketing,region_4,Master's & above,m,other,1,30,4,5,0,0,50
0,50923,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,38,4,9,1,0,46
0,5273,Sales & Marketing,region_31,Master's & above,m,sourcing,1,37,5,9,0,0,52
0,48488,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,46,4,9,0,0,47
0,39474,Procurement,region_2,Master's & above,f,sourcing,1,57,4,15,1,0,67
0,5197,Sales & Marketing,region_29,Master's & above,f,other,1,31,3,4,0,0,52
0,49178,Sales & Marketing,region_8,Bachelor's,m,other,1,28,5,5,1,0,49
0,23168,Procurement,region_2,Master's & above,f,other,1,58,3,3,1,0,62
0,53111,Operations,region_31,Master's & above,f,other,1,33,2,8,0,0,59
0,25284,Procurement,region_7,Bachelor's,m,other,2,38,3,10,0,0,67
0,59884,Analytics,region_29,Master's & above,m,other,1,37,2,10,0,0,87
0,48732,HR,region_2,Bachelor's,f,other,1,34,3,7,1,0,50
0,75605,Procurement,region_34,Bachelor's,m,sourcing,1,27,3,3,0,0,69
0,65924,Procurement,region_23,Master's & above,m,sourcing,2,36,1,9,0,0,69
0,63053,Operations,region_13,Master's & above,m,sourcing,1,31,1,2,0,0,57
0,64517,Operations,region_22,Bachelor's,f,other,1,60,5,13,0,0,61
1,55825,Sales & Marketing,region_1,Master's & above,m,sourcing,1,39,5,10,1,0,92
0,22880,Operations,region_4,Bachelor's,m,other,1,29,4,5,0,0,63
0,16899,Sales & Marketing,region_23,Bachelor's,m,other,1,35,1,5,1,0,48
1,38127,Procurement,region_7,Master's & above,f,other,1,33,3,5,1,0,73
0,69966,Sales & Marketing,region_19,Bachelor's,m,other,3,43,2,5,0,0,49
0,40522,Technology,region_7,Bachelor's,m,sourcing,1,39,3,11,0,0,79
0,25414,Sales & Marketing,region_28,Bachelor's,m,other,1,27,1,1,0,0,52
0,36443,Analytics,region_22,Bachelor's,m,other,2,28,5,5,1,0,87
1,41468,Analytics,region_22,Bachelor's,f,sourcing,2,28,4,6,1,0,81
0,70060,Technology,region_13,Master's & above,m,other,1,43,3,14,0,0,79
0,11454,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,39,3,13,0,0,49
0,57514,Sales & Marketing,region_13,Bachelor's,f,other,1,29,5,6,0,0,47
0,25345,Legal,region_2,Bachelor's,m,sourcing,1,46,3,6,0,0,60
0,50039,Operations,region_15,Bachelor's,m,other,1,26,3,4,0,0,58
0,62689,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,42,4,5,0,0,46
0,51748,Technology,region_26,Bachelor's,f,sourcing,1,26,2,3,0,0,80
0,19665,Operations,region_29,Bachelor's,m,sourcing,1,27,1,4,0,0,67
0,77497,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,33,4,3,0,0,49
0,64787,Procurement,region_2,Master's & above,m,sourcing,3,53,3,12,0,0,65
0,77216,Operations,region_7,Master's & above,m,sourcing,1,48,3,17,0,0,61
0,49941,Operations,region_22,Bachelor's,m,other,1,44,3,17,0,0,59
0,16669,Procurement,region_16,Master's & above,f,sourcing,1,39,5,10,1,0,70
1,71595,Analytics,region_22,Bachelor's,m,sourcing,2,27,3,3,1,0,81
1,70153,Technology,region_26,Bachelor's,m,other,1,41,5,11,1,1,82
0,64781,Procurement,region_7,Bachelor's,m,other,1,58,1,13,0,0,71
0,68020,Analytics,region_19,Bachelor's,m,other,1,30,5,4,1,0,87
0,1281,Sales & Marketing,region_22,Bachelor's,m,other,2,34,3,4,1,0,50
0,59889,Procurement,region_2,Master's & above,f,other,1,43,3,10,1,0,69
0,22332,Procurement,region_10,Master's & above,f,other,1,36,1,4,0,0,68
0,38973,Sales & Marketing,region_2,Master's & above,f,other,1,60,4,5,0,0,53
0,2180,Operations,region_2,Bachelor's,m,sourcing,1,25,4,2,0,0,54
0,12965,Operations,region_14,Bachelor's,m,other,1,36,3,3,0,0,55
0,39359,Technology,region_2,Bachelor's,f,sourcing,1,32,1,4,0,0,72
0,41025,Operations,region_15,Master's & above,m,referred,1,34,3,4,1,0,60
0,25072,Procurement,region_30,Bachelor's,m,other,1,35,3,2,0,1,70
0,8811,Operations,region_2,Bachelor's,f,other,1,55,5,12,0,0,65
0,11248,Sales & Marketing,region_5,Bachelor's,m,other,1,32,1,8,0,0,46
0,56415,Sales & Marketing,region_2,Bachelor's,m,other,1,60,4,7,0,0,47
0,41260,Analytics,region_22,Bachelor's,m,other,1,30,3,4,1,0,86
0,51692,Sales & Marketing,region_13,Master's & above,f,sourcing,1,41,1,9,0,0,54
0,67378,Legal,region_5,Bachelor's,m,other,2,31,5,3,1,0,59
0,26443,Sales & Marketing,region_30,Bachelor's,f,sourcing,1,28,1,5,1,0,49
0,20172,R&D,region_11,Master's & above,m,sourcing,1,30,3,4,0,0,85
0,41652,Technology,region_2,Master's & above,m,sourcing,1,49,3,19,0,0,79
0,29580,Operations,region_2,Bachelor's,f,other,1,35,4,3,0,0,62
0,16211,Sales & Marketing,region_22,Bachelor's,m,sourcing,2,29,4,3,1,0,54
0,76420,Technology,region_10,Master's & above,f,sourcing,2,31,4,7,0,0,83
0,72317,Technology,region_23,Bachelor's,m,other,3,30,3,4,1,0,82
0,71213,Operations,region_29,Bachelor's,m,sourcing,1,26,3,3,0,0,60
0,51904,Sales & Marketing,region_27,Bachelor's,f,sourcing,2,27,2,2,0,0,51
0,30989,Technology,region_5,Bachelor's,m,other,1,32,5,2,1,0,83
1,8745,Procurement,region_8,Bachelor's,f,sourcing,1,31,5,3,0,0,87
0,1297,Technology,region_5,Master's & above,m,sourcing,1,48,4,8,0,0,79
0,75378,Procurement,region_31,Bachelor's,f,other,1,25,1,2,0,0,72
0,8110,Operations,region_7,Bachelor's,m,other,1,49,3,6,0,0,59
0,30974,Sales & Marketing,region_7,Bachelor's,f,other,2,36,3,7,0,0,47
0,7674,Procurement,region_12,Bachelor's,m,sourcing,1,28,3,4,0,0,66
0,58763,Sales & Marketing,region_21,Bachelor's,m,sourcing,1,24,1,2,0,0,50
0,61960,Finance,region_22,Bachelor's,f,other,1,27,4,4,1,0,56
0,1694,Operations,region_2,Bachelor's,m,sourcing,1,49,5,10,1,0,61
1,28588,Procurement,region_2,Master's & above,f,other,1,42,5,6,0,0,88
0,52495,Sales & Marketing,region_2,Bachelor's,f,other,1,30,3,6,0,0,48
0,4147,Procurement,region_22,Master's & above,m,sourcing,1,40,3,12,0,0,70
0,72641,Procurement,region_2,Master's & above,m,sourcing,1,50,2,6,0,0,72
1,58107,Technology,region_31,Bachelor's,f,sourcing,1,31,5,3,1,1,90
1,54981,Operations,region_15,Bachelor's,f,other,2,42,5,5,1,0,61
0,66768,Procurement,region_13,Master's & above,f,sourcing,1,30,3,5,0,0,74
0,29809,Procurement,region_25,Bachelor's,f,other,1,28,3,3,0,0,66
0,50858,Sales & Marketing,region_25,Bachelor's,m,sourcing,2,32,3,7,0,0,51
0,20257,Procurement,region_2,Bachelor's,f,sourcing,1,35,4,8,0,0,68
0,33047,Finance,region_13,Bachelor's,m,other,1,28,5,4,1,0,58
0,46690,Operations,region_7,Bachelor's,m,other,2,51,5,19,1,0,61
0,26962,Sales & Marketing,region_1,Master's & above,m,other,1,36,3,8,0,0,45
0,45,Sales & Marketing,region_19,Bachelor's,m,other,1,27,4,4,0,0,50
0,26748,Operations,region_2,Master's & above,m,sourcing,2,37,5,9,1,0,57
0,59235,Procurement,region_22,Bachelor's,m,other,3,26,3,2,0,0,69
